timestamp;Price;P_Forecast_Total_Load;P_Forecast_Zonal_Load
2011-01-02 23:00:00;40.33;15599;5231
2011-01-03 00:00:00;39.7;14952;4977
2011-01-03 01:00:00;36.75;14384;4774
2011-01-03 02:00:00;33.87;14131;4654
2011-01-03 03:00:00;33.79;14065;4598
2011-01-03 04:00:00;34.28;14241;4600
2011-01-03 05:00:00;40.5;15043;4757
2011-01-03 06:00:00;49.9;16710;5180
2011-01-03 07:00:00;55.53;18138;5661
2011-01-03 08:00:00;54.03;18637;5969
2011-01-03 09:00:00;55.44;19009;6227
2011-01-03 10:00:00;58.89;19236;6372
2011-01-03 11:00:00;58.53;19259;6443
2011-01-03 12:00:00;54.75;19128;6457
2011-01-03 13:00:00;51.65;19019;6448
2011-01-03 14:00:00;51.11;18871;6443
2011-01-03 15:00:00;51.46;18877;6445
2011-01-03 16:00:00;61.69;19580;6587
2011-01-03 17:00:00;76;21283;6867
2011-01-03 18:00:00;68.47;21502;6828
2011-01-03 19:00:00;78.12;21092;6680
2011-01-03 20:00:00;62.25;20523;6506
2011-01-03 21:00:00;51.06;19512;6260
2011-01-03 22:00:00;46.4;18044;5927
2011-01-03 23:00:00;45.98;16495;5487
2011-01-04 00:00:00;41.3;15621;5113
2011-01-04 01:00:00;38.79;14947;4862
2011-01-04 02:00:00;37.83;14613;4715
2011-01-04 03:00:00;36.53;14478;4639
2011-01-04 04:00:00;36.79;14611;4626
2011-01-04 05:00:00;41.48;15430;4798
2011-01-04 06:00:00;50.09;17068;5233
2011-01-04 07:00:00;54.54;18363;5705
2011-01-04 08:00:00;52.81;18759;5994
2011-01-04 09:00:00;55.22;19047;6228
2011-01-04 10:00:00;58.05;19248;6367
2011-01-04 11:00:00;54.95;19243;6428
2011-01-04 12:00:00;54.79;19089;6430
2011-01-04 13:00:00;53.17;18979;6420
2011-01-04 14:00:00;53.14;18834;6411
2011-01-04 15:00:00;52.51;18865;6421
2011-01-04 16:00:00;55.35;19558;6563
2011-01-04 17:00:00;69.7;21230;6848
2011-01-04 18:00:00;66.17;21386;6801
2011-01-04 19:00:00;61.28;20965;6647
2011-01-04 20:00:00;62.35;20378;6461
2011-01-04 21:00:00;53.09;19350;6203
2011-01-04 22:00:00;45.42;17891;5867
2011-01-04 23:00:00;44.76;16315;5414
2011-01-05 00:00:00;40.14;15516;5057
2011-01-05 01:00:00;39.33;14900;4835
2011-01-05 02:00:00;37.25;14588;4703
2011-01-05 03:00:00;36.42;14435;4625
2011-01-05 04:00:00;36.4;14543;4605
2011-01-05 05:00:00;39.44;15318;4769
2011-01-05 06:00:00;50.33;16863;5199
2011-01-05 07:00:00;62.07;18087;5653
2011-01-05 08:00:00;62.12;18530;5938
2011-01-05 09:00:00;62.74;18908;6181
2011-01-05 10:00:00;63;19193;6332
2011-01-05 11:00:00;61.27;19263;6406
2011-01-05 12:00:00;60.38;19183;6424
2011-01-05 13:00:00;56.47;19102;6418
2011-01-05 14:00:00;59.39;19001;6423
2011-01-05 15:00:00;58.9;19046;6435
2011-01-05 16:00:00;64.19;19729;6575
2011-01-05 17:00:00;86.52;21388;6858
2011-01-05 18:00:00;80.22;21590;6819
2011-01-05 19:00:00;68.11;21207;6671
2011-01-05 20:00:00;64.2;20662;6497
2011-01-05 21:00:00;62.65;19710;6270
2011-01-05 22:00:00;50.02;18315;5955
2011-01-05 23:00:00;47.94;16789;5524
2011-01-06 00:00:00;43.84;15878;5159
2011-01-06 01:00:00;40.57;15178;4897
2011-01-06 02:00:00;39.75;14819;4745
2011-01-06 03:00:00;38.67;14663;4660
2011-01-06 04:00:00;37.67;14817;4647
2011-01-06 05:00:00;41.14;15676;4836
2011-01-06 06:00:00;50.32;17367;5308
2011-01-06 07:00:00;62;18699;5817
2011-01-06 08:00:00;62.01;19109;6124
2011-01-06 09:00:00;63.34;19449;6378
2011-01-06 10:00:00;65.06;19654;6524
2011-01-06 11:00:00;63.88;19650;6589
2011-01-06 12:00:00;58.58;19513;6589
2011-01-06 13:00:00;61.63;19398;6576
2011-01-06 14:00:00;57.45;19268;6573
2011-01-06 15:00:00;58.87;19300;6585
2011-01-06 16:00:00;67.47;19954;6716
2011-01-06 17:00:00;100.28;21623;6981
2011-01-06 18:00:00;83.48;21867;6939
2011-01-06 19:00:00;73.18;21491;6783
2011-01-06 20:00:00;68.44;20916;6592
2011-01-06 21:00:00;62.48;19888;6347
2011-01-06 22:00:00;55.26;18414;6020
2011-01-06 23:00:00;47.08;16817;5571
2011-01-07 00:00:00;45.53;16012;5205
2011-01-07 01:00:00;41.53;15268;4925
2011-01-07 02:00:00;40.54;14865;4754
2011-01-07 03:00:00;37.76;14668;4657
2011-01-07 04:00:00;38.28;14799;4644
2011-01-07 05:00:00;43.66;15648;4847
2011-01-07 06:00:00;55.16;17401;5354
2011-01-07 07:00:00;65.74;18862;5912
2011-01-07 08:00:00;63.41;19365;6247
2011-01-07 09:00:00;66.16;19763;6510
2011-01-07 10:00:00;67.9;20015;6652
2011-01-07 11:00:00;68.52;20003;6704
2011-01-07 12:00:00;66.05;19867;6692
2011-01-07 13:00:00;65.31;19725;6665
2011-01-07 14:00:00;63.9;19548;6651
2011-01-07 15:00:00;61.63;19529;6655
2011-01-07 16:00:00;68.26;20064;6763
2011-01-07 17:00:00;75.45;21577;7006
2011-01-07 18:00:00;72.02;21683;6933
2011-01-07 19:00:00;70.93;21169;6744
2011-01-07 20:00:00;62.23;20629;6544
2011-01-07 21:00:00;53.62;19808;6324
2011-01-07 22:00:00;48.42;18595;6060
2011-01-07 23:00:00;46.12;17095;5662
2011-01-08 00:00:00;49.22;16269;5335
2011-01-08 01:00:00;42.69;15568;5099
2011-01-08 02:00:00;40.33;15160;4939
2011-01-08 03:00:00;39.81;14912;4840
2011-01-08 04:00:00;39.38;14783;4759
2011-01-08 05:00:00;40.31;14835;4699
2011-01-08 06:00:00;45.96;15561;4827
2011-01-08 07:00:00;49.38;16593;5117
2011-01-08 08:00:00;47.13;17335;5385
2011-01-08 09:00:00;65.63;17998;5676
2011-01-08 10:00:00;63.15;18365;5870
2011-01-08 11:00:00;59.4;18392;5951
2011-01-08 12:00:00;57.63;18227;5950
2011-01-08 13:00:00;52.38;18008;5917
2011-01-08 14:00:00;49.78;17818;5888
2011-01-08 15:00:00;49.77;17841;5879
2011-01-08 16:00:00;63;18493;5990
2011-01-08 17:00:00;89.04;20291;6349
2011-01-08 18:00:00;84;20763;6470
2011-01-08 19:00:00;79.28;20495;6428
2011-01-08 20:00:00;74.24;20140;6336
2011-01-08 21:00:00;63.73;19531;6220
2011-01-08 22:00:00;52.65;18569;6050
2011-01-08 23:00:00;49.85;17338;5762
2011-01-09 00:00:00;55.39;16208;5394
2011-01-09 01:00:00;48.37;15502;5129
2011-01-09 02:00:00;44.9;15055;4943
2011-01-09 03:00:00;42.47;14784;4830
2011-01-09 04:00:00;42.13;14610;4742
2011-01-09 05:00:00;42.59;14499;4641
2011-01-09 06:00:00;48.74;14973;4693
2011-01-09 07:00:00;48.76;15815;4911
2011-01-09 08:00:00;48.45;16453;5125
2011-01-09 09:00:00;52.87;17144;5404
2011-01-09 10:00:00;53.32;17647;5619
2011-01-09 11:00:00;54.53;17871;5735
2011-01-09 12:00:00;53.07;17882;5782
2011-01-09 13:00:00;49.43;17800;5789
2011-01-09 14:00:00;48.26;17722;5796
2011-01-09 15:00:00;49.81;17861;5821
2011-01-09 16:00:00;57.71;18604;5959
2011-01-09 17:00:00;81.79;20360;6343
2011-01-09 18:00:00;79.82;20880;6482
2011-01-09 19:00:00;78.74;20772;6493
2011-01-09 20:00:00;71.26;20450;6451
2011-01-09 21:00:00;62.37;19727;6331
2011-01-09 22:00:00;51.7;18629;6101
2011-01-09 23:00:00;51.69;17344;5758
2011-01-10 00:00:00;51.33;16386;5406
2011-01-10 01:00:00;45.21;15600;5099
2011-01-10 02:00:00;42.73;15167;4907
2011-01-10 03:00:00;42.01;15011;4819
2011-01-10 04:00:00;43.27;15228;4835
2011-01-10 05:00:00;48.99;16118;5040
2011-01-10 06:00:00;60;17964;5578
2011-01-10 07:00:00;68.86;19530;6182
2011-01-10 08:00:00;70.91;20033;6550
2011-01-10 09:00:00;76.3;20466;6822
2011-01-10 10:00:00;75.42;20753;6958
2011-01-10 11:00:00;72.19;20803;7007
2011-01-10 12:00:00;69.65;20756;7022
2011-01-10 13:00:00;69.61;20675;7011
2011-01-10 14:00:00;66.08;20539;7007
2011-01-10 15:00:00;68.51;20582;7028
2011-01-10 16:00:00;78.48;21154;7140
2011-01-10 17:00:00;91.91;22729;7399
2011-01-10 18:00:00;88.14;23007;7345
2011-01-10 19:00:00;85.41;22580;7174
2011-01-10 20:00:00;85.55;21908;6964
2011-01-10 21:00:00;63;20785;6670
2011-01-10 22:00:00;54.33;19310;6285
2011-01-10 23:00:00;52.84;17739;5798
2011-01-11 00:00:00;50.95;16670;5402
2011-01-11 01:00:00;44.6;15883;5090
2011-01-11 02:00:00;42.76;15453;4901
2011-01-11 03:00:00;42.68;15292;4815
2011-01-11 04:00:00;42.47;15497;4835
2011-01-11 05:00:00;47.66;16405;5066
2011-01-11 06:00:00;62.5;18209;5593
2011-01-11 07:00:00;69.58;19707;6164
2011-01-11 08:00:00;63;20168;6524
2011-01-11 09:00:00;75.29;20533;6781
2011-01-11 10:00:00;74.16;20742;6911
2011-01-11 11:00:00;70.08;20746;6966
2011-01-11 12:00:00;68.88;20651;6977
2011-01-11 13:00:00;65.32;20549;6964
2011-01-11 14:00:00;63.32;20399;6946
2011-01-11 15:00:00;65.52;20434;6970
2011-01-11 16:00:00;76.22;20987;7076
2011-01-11 17:00:00;88.31;22440;7302
2011-01-11 18:00:00;81.73;22611;7221
2011-01-11 19:00:00;76.76;22137;7025
2011-01-11 20:00:00;73.17;21465;6803
2011-01-11 21:00:00;69.19;20371;6510
2011-01-11 22:00:00;56.59;18938;6139
2011-01-11 23:00:00;51.96;17420;5673
2011-01-12 00:00:00;53.56;16287;5259
2011-01-12 01:00:00;48.75;15555;4978
2011-01-12 02:00:00;43.36;15143;4808
2011-01-12 03:00:00;42.72;14989;4732
2011-01-12 04:00:00;44.65;15184;4755
2011-01-12 05:00:00;48.94;16063;4986
2011-01-12 06:00:00;70.48;17814;5519
2011-01-12 07:00:00;73.82;19315;6087
2011-01-12 08:00:00;85.8;19865;6456
2011-01-12 09:00:00;90.35;20302;6714
2011-01-12 10:00:00;95.27;20577;6842
2011-01-12 11:00:00;92.16;20681;6913
2011-01-12 12:00:00;99.99;20654;6939
2011-01-12 13:00:00;88.82;20620;6944
2011-01-12 14:00:00;88.48;20525;6938
2011-01-12 15:00:00;87.19;20573;6958
2011-01-12 16:00:00;100.7;21076;7063
2011-01-12 17:00:00;110.65;22512;7308
2011-01-12 18:00:00;104.22;22690;7234
2011-01-12 19:00:00;98.24;22209;7042
2011-01-12 20:00:00;90.96;21558;6830
2011-01-12 21:00:00;76.58;20529;6562
2011-01-12 22:00:00;57.05;19159;6207
2011-01-12 23:00:00;61.75;17696;5757
2011-01-13 00:00:00;58.17;16489;5338
2011-01-13 01:00:00;51.96;15775;5063
2011-01-13 02:00:00;49.45;15376;4900
2011-01-13 03:00:00;47.67;15244;4826
2011-01-13 04:00:00;47.9;15439;4848
2011-01-13 05:00:00;56.72;16346;5085
2011-01-13 06:00:00;77.38;18121;5608
2011-01-13 07:00:00;96.15;19625;6179
2011-01-13 08:00:00;89.87;20159;6547
2011-01-13 09:00:00;97.05;20546;6806
2011-01-13 10:00:00;107.54;20771;6931
2011-01-13 11:00:00;108.01;20829;6995
2011-01-13 12:00:00;104.81;20738;7009
2011-01-13 13:00:00;97.71;20681;7008
2011-01-13 14:00:00;88.75;20556;6993
2011-01-13 15:00:00;95;20580;7010
2011-01-13 16:00:00;115.38;21070;7112
2011-01-13 17:00:00;129.26;22510;7345
2011-01-13 18:00:00;123.83;22796;7292
2011-01-13 19:00:00;117.52;22347;7105
2011-01-13 20:00:00;113;21708;6892
2011-01-13 21:00:00;94.32;20675;6623
2011-01-13 22:00:00;75.89;19323;6281
2011-01-13 23:00:00;70.71;17850;5839
2011-01-14 00:00:00;76.04;16725;5416
2011-01-14 01:00:00;64.73;15990;5140
2011-01-14 02:00:00;58.74;15596;4973
2011-01-14 03:00:00;56.56;15456;4898
2011-01-14 04:00:00;56.48;15644;4913
2011-01-14 05:00:00;67;16537;5148
2011-01-14 06:00:00;96.56;18351;5665
2011-01-14 07:00:00;108.85;19906;6240
2011-01-14 08:00:00;110.96;20406;6612
2011-01-14 09:00:00;126.91;20750;6878
2011-01-14 10:00:00;135.15;20922;7012
2011-01-14 11:00:00;133.06;20898;7068
2011-01-14 12:00:00;132.49;20722;7061
2011-01-14 13:00:00;125;20585;7037
2011-01-14 14:00:00;110.11;20366;6995
2011-01-14 15:00:00;108.28;20251;6972
2011-01-14 16:00:00;133.24;20609;7031
2011-01-14 17:00:00;144.59;22009;7253
2011-01-14 18:00:00;137.37;22250;7191
2011-01-14 19:00:00;130;21729;6988
2011-01-14 20:00:00;121.54;21123;6762
2011-01-14 21:00:00;112.54;20288;6516
2011-01-14 22:00:00;98.56;19140;6233
2011-01-14 23:00:00;80.21;17742;5846
2011-01-15 00:00:00;62.63;16741;5487
2011-01-15 01:00:00;57.2;16095;5253
2011-01-15 02:00:00;57.72;15715;5093
2011-01-15 03:00:00;54.27;15490;5007
2011-01-15 04:00:00;54.32;15370;4943
2011-01-15 05:00:00;54.44;15407;4909
2011-01-15 06:00:00;59.78;16043;5016
2011-01-15 07:00:00;62;17080;5277
2011-01-15 08:00:00;67.46;17871;5565
2011-01-15 09:00:00;77.81;18572;5863
2011-01-15 10:00:00;87.84;18978;6079
2011-01-15 11:00:00;93.72;19094;6188
2011-01-15 12:00:00;84.61;18941;6199
2011-01-15 13:00:00;64.58;18735;6171
2011-01-15 14:00:00;62;18533;6124
2011-01-15 15:00:00;62;18454;6091
2011-01-15 16:00:00;87;18940;6157
2011-01-15 17:00:00;114;20422;6468
2011-01-15 18:00:00;118;20777;6551
2011-01-15 19:00:00;116;20363;6468
2011-01-15 20:00:00;93.35;19846;6329
2011-01-15 21:00:00;87.44;19197;6190
2011-01-15 22:00:00;62;18317;6013
2011-01-15 23:00:00;62;17221;5748
2011-01-16 00:00:00;56.53;16119;5331
2011-01-16 01:00:00;47.56;15587;5115
2011-01-16 02:00:00;47.77;15244;4959
2011-01-16 03:00:00;43.97;15050;4875
2011-01-16 04:00:00;44.34;14910;4811
2011-01-16 05:00:00;42.71;14746;4723
2011-01-16 06:00:00;45.68;14981;4710
2011-01-16 07:00:00;44.53;15681;4851
2011-01-16 08:00:00;47.23;16408;5065
2011-01-16 09:00:00;54.39;17129;5328
2011-01-16 10:00:00;55.06;17632;5539
2011-01-16 11:00:00;54.58;17935;5678
2011-01-16 12:00:00;54.44;17951;5724
2011-01-16 13:00:00;50.51;17874;5731
2011-01-16 14:00:00;50;17821;5733
2011-01-16 15:00:00;50.76;17880;5752
2011-01-16 16:00:00;59.54;18420;5861
2011-01-16 17:00:00;90.46;19929;6201
2011-01-16 18:00:00;84.54;20429;6321
2011-01-16 19:00:00;73.69;20275;6319
2011-01-16 20:00:00;71;19947;6268
2011-01-16 21:00:00;62;19369;6176
2011-01-16 22:00:00;51.67;18510;5999
2011-01-16 23:00:00;54.93;17528;5739
2011-01-17 00:00:00;58.6;16618;5369
2011-01-17 01:00:00;49.88;16093;5138
2011-01-17 02:00:00;53.47;15781;4973
2011-01-17 03:00:00;51.88;15659;4893
2011-01-17 04:00:00;52;15806;4879
2011-01-17 05:00:00;53.86;16454;5003
2011-01-17 06:00:00;71.55;17507;5288
2011-01-17 07:00:00;73.72;18511;5606
2011-01-17 08:00:00;67.76;19366;5943
2011-01-17 09:00:00;75.64;20173;6255
2011-01-17 10:00:00;81.31;20631;6470
2011-01-17 11:00:00;83.54;20818;6589
2011-01-17 12:00:00;74.68;20719;6617
2011-01-17 13:00:00;68.85;20534;6602
2011-01-17 14:00:00;62.3;20342;6579
2011-01-17 15:00:00;60.67;20264;6603
2011-01-17 16:00:00;76.65;20731;6719
2011-01-17 17:00:00;93.65;22259;7007
2011-01-17 18:00:00;92.87;22598;7005
2011-01-17 19:00:00;80.63;22163;6873
2011-01-17 20:00:00;75.51;21495;6682
2011-01-17 21:00:00;62;20505;6458
2011-01-17 22:00:00;54.64;19152;6151
2011-01-17 23:00:00;58.16;17725;5734
2011-01-18 00:00:00;56.69;16484;5260
2011-01-18 01:00:00;49.14;15622;4917
2011-01-18 02:00:00;46.93;15158;4713
2011-01-18 03:00:00;46.23;14969;4622
2011-01-18 04:00:00;41.43;15184;4648
2011-01-18 05:00:00;57.02;16093;4904
2011-01-18 06:00:00;65.17;17764;5425
2011-01-18 07:00:00;80.47;19185;5985
2011-01-18 08:00:00;78.74;19678;6350
2011-01-18 09:00:00;85.68;20061;6600
2011-01-18 10:00:00;89.72;20329;6750
2011-01-18 11:00:00;86.64;20402;6809
2011-01-18 12:00:00;80.26;20325;6812
2011-01-18 13:00:00;79.99;20221;6796
2011-01-18 14:00:00;77.97;20084;6769
2011-01-18 15:00:00;78.16;20086;6792
2011-01-18 16:00:00;83.13;20496;6888
2011-01-18 17:00:00;94.4;21764;7129
2011-01-18 18:00:00;90.47;21895;7049
2011-01-18 19:00:00;84.93;21344;6852
2011-01-18 20:00:00;73.99;20629;6613
2011-01-18 21:00:00;62;19580;6326
2011-01-18 22:00:00;50.85;18170;5939
2011-01-18 23:00:00;49.17;16730;5471
2011-01-19 00:00:00;47.35;15721;5073
2011-01-19 01:00:00;43.82;15027;4812
2011-01-19 02:00:00;41.09;14652;4651
2011-01-19 03:00:00;40.82;14481;4573
2011-01-19 04:00:00;40.85;14629;4587
2011-01-19 05:00:00;43.25;15487;4823
2011-01-19 06:00:00;63.99;17137;5330
2011-01-19 07:00:00;66.05;18560;5879
2011-01-19 08:00:00;65.31;19075;6233
2011-01-19 09:00:00;68.07;19449;6470
2011-01-19 10:00:00;73.58;19742;6613
2011-01-19 11:00:00;71.57;19854;6673
2011-01-19 12:00:00;67.7;19814;6682
2011-01-19 13:00:00;65.28;19756;6672
2011-01-19 14:00:00;62.91;19652;6656
2011-01-19 15:00:00;65.93;19657;6675
2011-01-19 16:00:00;70.81;20054;6773
2011-01-19 17:00:00;91.92;21371;7014
2011-01-19 18:00:00;87;21632;6954
2011-01-19 19:00:00;80.41;21160;6772
2011-01-19 20:00:00;68.59;20563;6560
2011-01-19 21:00:00;56.73;19659;6309
2011-01-19 22:00:00;51.31;18354;5961
2011-01-19 23:00:00;51.62;17018;5545
2011-01-20 00:00:00;57.51;16064;5179
2011-01-20 01:00:00;50.25;15367;4906
2011-01-20 02:00:00;46.94;15004;4741
2011-01-20 03:00:00;46.94;14872;4665
2011-01-20 04:00:00;47.8;15058;4688
2011-01-20 05:00:00;52.22;15983;4937
2011-01-20 06:00:00;71.76;17704;5444
2011-01-20 07:00:00;85;19167;5994
2011-01-20 08:00:00;80.17;19670;6358
2011-01-20 09:00:00;81.89;20046;6608
2011-01-20 10:00:00;80.57;20301;6766
2011-01-20 11:00:00;76.93;20362;6834
2011-01-20 12:00:00;74.71;20303;6851
2011-01-20 13:00:00;71.29;20233;6846
2011-01-20 14:00:00;69.54;20122;6837
2011-01-20 15:00:00;72.1;20138;6864
2011-01-20 16:00:00;78.42;20537;6963
2011-01-20 17:00:00;112.17;21906;7187
2011-01-20 18:00:00;105.9;22253;7131
2011-01-20 19:00:00;90.45;21778;6934
2011-01-20 20:00:00;89.93;21127;6708
2011-01-20 21:00:00;73.53;20147;6450
2011-01-20 22:00:00;62.58;18776;6104
2011-01-20 23:00:00;60;17406;5695
2011-01-21 00:00:00;64.26;16273;5234
2011-01-21 01:00:00;56.94;15553;4977
2011-01-21 02:00:00;49.2;15170;4814
2011-01-21 03:00:00;49.34;14999;4731
2011-01-21 04:00:00;53.1;15137;4742
2011-01-21 05:00:00;58.38;15986;4971
2011-01-21 06:00:00;83.27;17672;5463
2011-01-21 07:00:00;104.94;19182;6016
2011-01-21 08:00:00;101.39;19786;6388
2011-01-21 09:00:00;106.09;20208;6645
2011-01-21 10:00:00;105.64;20480;6808
2011-01-21 11:00:00;104.15;20521;6863
2011-01-21 12:00:00;95.68;20440;6865
2011-01-21 13:00:00;82.81;20310;6835
2011-01-21 14:00:00;78.53;20117;6801
2011-01-21 15:00:00;79.72;20032;6794
2011-01-21 16:00:00;97.93;20291;6858
2011-01-21 17:00:00;128.69;21565;7071
2011-01-21 18:00:00;124.88;21861;7021
2011-01-21 19:00:00;106.93;21329;6825
2011-01-21 20:00:00;99;20775;6612
2011-01-21 21:00:00;84;20026;6383
2011-01-21 22:00:00;77.94;18903;6110
2011-01-21 23:00:00;72.32;17644;5757
2011-01-22 00:00:00;98.82;16552;5366
2011-01-22 01:00:00;83.1;15975;5166
2011-01-22 02:00:00;73.77;15649;5027
2011-01-22 03:00:00;72.64;15467;4951
2011-01-22 04:00:00;73.98;15346;4893
2011-01-22 05:00:00;84.35;15409;4857
2011-01-22 06:00:00;94.7;16081;4969
2011-01-22 07:00:00;108.24;17180;5266
2011-01-22 08:00:00;124.86;18064;5578
2011-01-22 09:00:00;138.52;18792;5879
2011-01-22 10:00:00;153.28;19214;6107
2011-01-22 11:00:00;139.76;19294;6195
2011-01-22 12:00:00;133.64;19143;6194
2011-01-22 13:00:00;121.15;18917;6157
2011-01-22 14:00:00;116;18688;6105
2011-01-22 15:00:00;118;18621;6075
2011-01-22 16:00:00;132.5;19029;6143
2011-01-22 17:00:00;179.53;20500;6445
2011-01-22 18:00:00;187;21114;6576
2011-01-22 19:00:00;154.85;20773;6506
2011-01-22 20:00:00;145.43;20366;6391
2011-01-22 21:00:00;134;19780;6256
2011-01-22 22:00:00;121.52;18902;6079
2011-01-22 23:00:00;126.47;17869;5827
2011-01-23 00:00:00;127.26;16870;5495
2011-01-23 01:00:00;116.21;16348;5294
2011-01-23 02:00:00;109.31;16022;5143
2011-01-23 03:00:00;106.88;15839;5060
2011-01-23 04:00:00;110.73;15689;4993
2011-01-23 05:00:00;118.11;15540;4892
2011-01-23 06:00:00;110.43;15928;4910
2011-01-23 07:00:00;109.02;16786;5122
2011-01-23 08:00:00;129.12;17504;5366
2011-01-23 09:00:00;143.19;18145;5631
2011-01-23 10:00:00;147.14;18578;5850
2011-01-23 11:00:00;153.89;18766;5956
2011-01-23 12:00:00;150.32;18719;5984
2011-01-23 13:00:00;147.11;18587;5982
2011-01-23 14:00:00;140.68;18461;5969
2011-01-23 15:00:00;145.45;18503;5972
2011-01-23 16:00:00;164.21;18984;6064
2011-01-23 17:00:00;205.34;20488;6386
2011-01-23 18:00:00;199.49;21228;6545
2011-01-23 19:00:00;176.85;21132;6546
2011-01-23 20:00:00;189.14;20852;6500
2011-01-23 21:00:00;171.48;20256;6385
2011-01-23 22:00:00;151.57;19325;6184
2011-01-23 23:00:00;150.62;18310;5907
2011-01-24 00:00:00;137.88;17409;5557
2011-01-24 01:00:00;134.21;16989;5320
2011-01-24 02:00:00;130.24;16767;5172
2011-01-24 03:00:00;129.24;16713;5119
2011-01-24 04:00:00;130.17;16979;5163
2011-01-24 05:00:00;140.25;17949;5386
2011-01-24 06:00:00;170.87;19691;5870
2011-01-24 07:00:00;186.34;21166;6420
2011-01-24 08:00:00;188.25;21768;6814
2011-01-24 09:00:00;196.5;22148;7090
2011-01-24 10:00:00;190.13;22370;7274
2011-01-24 11:00:00;186.52;22363;7331
2011-01-24 12:00:00;183;22227;7338
2011-01-24 13:00:00;183;22098;7334
2011-01-24 14:00:00;169.99;21901;7316
2011-01-24 15:00:00;181.87;21864;7326
2011-01-24 16:00:00;191.99;22231;7409
2011-01-24 17:00:00;257;23554;7588
2011-01-24 18:00:00;245.82;24151;7587
2011-01-24 19:00:00;216.61;23718;7415
2011-01-24 20:00:00;195.32;23006;7195
2011-01-24 21:00:00;172.78;21878;6894
2011-01-24 22:00:00;156.08;20388;6507
2011-01-24 23:00:00;153;18878;6033
2011-01-25 00:00:00;112.99;17591;5579
2011-01-25 01:00:00;100.4;16627;5190
2011-01-25 02:00:00;96.02;16101;4955
2011-01-25 03:00:00;98.53;15896;4854
2011-01-25 04:00:00;99.11;16114;4882
2011-01-25 05:00:00;110;17005;5124
2011-01-25 06:00:00;146.33;18686;5644
2011-01-25 07:00:00;168.64;20104;6219
2011-01-25 08:00:00;167.25;20635;6602
2011-01-25 09:00:00;169.42;20962;6861
2011-01-25 10:00:00;159.99;21175;7020
2011-01-25 11:00:00;146;21143;7059
2011-01-25 12:00:00;139.72;20999;7048
2011-01-25 13:00:00;125.71;20874;7034
2011-01-25 14:00:00;124.64;20702;7014
2011-01-25 15:00:00;134.85;20651;7014
2011-01-25 16:00:00;148.25;20957;7082
2011-01-25 17:00:00;181.03;22142;7286
2011-01-25 18:00:00;180.52;22598;7273
2011-01-25 19:00:00;168.02;22198;7101
2011-01-25 20:00:00;151.34;21548;6876
2011-01-25 21:00:00;139;20505;6568
2011-01-25 22:00:00;98.63;19100;6166
2011-01-25 23:00:00;100.63;17634;5675
2011-01-26 00:00:00;49.39;16526;5287
2011-01-26 01:00:00;45.93;15775;4991
2011-01-26 02:00:00;44.38;15368;4814
2011-01-26 03:00:00;49.19;15205;4736
2011-01-26 04:00:00;50.64;15405;4759
2011-01-26 05:00:00;48.47;16296;4992
2011-01-26 06:00:00;74.75;17994;5501
2011-01-26 07:00:00;88.63;19417;6062
2011-01-26 08:00:00;79.96;19957;6445
